Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25
内部用户ID,注册手机号,真实姓名,昵称/显示名,性别,生日,年龄,身份证号（本人）,儿童身份证号,儿童生日,居住省市区,详细地址（收货/预约）,籍贯地址,微信OpenID,微信UnionID,支付宝ID,车牌号,紧急联系人姓名,紧急联系人电话,人脸照片,证件验证状态,会员等级/VIP状态,黑名单/封禁状态,注册来源渠道,体检有效期
j_member.id（主键）,j_member.phone；j_member_order.phone；buy_ticket_people.phone；j_id_card_check_record.phone；j_report_check_record.phone；j_venue_reserve.phone；p_park_customer.user_phone；register_activity_user.phone；j_platform_activity_person.sign_phone；j_address.phone（收货人电话）；j_verification_code.phone（验证码发送记录）,j_member.user_name；j_id_card_check_record.user_name；j_report_check_record.user_name；buy_ticket_people.name；j_platform_activity_person.sign_name；j_venue_reserve.name；p_park_customer.user_name；register_activity_user.name；j_address.name（收货人姓名）,j_member.nick_name；j_platform_activity_person.nickname,j_member.sex；buy_ticket_people.sex；j_address.sex；j_id_card_check_record.sex；j_venue_reserve.sex,j_member.birthday；j_id_card_check_record.birthday,j_member.age,j_member.id_card；j_id_card_check_record.id_card；j_member_order.id_card；j_report_check_record.id_card；buy_ticket_people.num（type=1身份证）；j_platform_activity_person.sign_card_no（sign_card_type=身份证时）,j_member.child_id_card,j_member.child_birthday,j_member.province/city/area；j_address.pca_name（+province_id/city_id/area_id）；j_member_order.pca_name（收货省市区）,j_address.detailed_address；j_member_order.address（收货详细地址）,j_id_card_check_record.address（籍贯）,j_member_third.third_id（third_type=1微信OpenID；third_source区分小程序1/公众号2）,j_member_third.union_id（third_type=1微信UnionID；跨小程序/公众号打通唯一标识）,j_member_third.third_id（third_type=2支付宝）,p_park_customer.car_no；p_park_customer.is_yellow_car（黄牌标记）；p_park_customer.is_new_enegry（新能源标记）；p_park_customer.certificate_no（无牌车凭证号）,j_report_check_record.urgent_name；j_platform_activity_person.emergency_contact,j_report_check_record.urgent_phone,j_report_check_record.face_images,j_member.id_card_check（1未校验/2已校验/3过期/4禁用）；buy_ticket_people.id_card_status（0未验证/1成功/2姓名不匹配/3失败）；j_id_card_check_record.status（1通过/2不通过）＋result（0一致/1不一致/2无记录）,j_member.rank（0普通/1场馆管理员/2培训机构/3商户/4系统管理员）；j_member.is_vip（0否/1子场馆关联/2个人加V）；j_member.jwh_vip（0否/1是/2已过期）,j_member.is_blacklist（0否/1是）；j_member.member_status（1正常/2封禁）,j_member.source（1安卓/2iOS/3小程序/4后台录入）；j_member.register_source（注册子场馆id）,j_member.report_expire_date；j_report_check_record.report_expire_date
