user_id,cluster,cluster_name
372,0,活动互动
373,0,活动互动
374,0,活动互动
375,0,活动互动
376,0,活动互动
377,0,活动互动
378,1,活动互动/沉睡/回流/高活跃
379,0,活动互动
380,0,活动互动
381,0,活动互动
382,0,活动互动
383,0,活动互动
384,0,活动互动
385,1,活动互动/沉睡/回流/高活跃
386,0,活动互动
387,0,活动互动
388,1,活动互动/沉睡/回流/高活跃
389,1,活动互动/沉睡/回流/高活跃
390,0,活动互动
391,0,活动互动
392,0,活动互动
393,0,活动互动
395,0,活动互动
396,0,活动互动
397,0,活动互动
398,0,活动互动
399,0,活动互动
400,0,活动互动
401,0,活动互动
402,0,活动互动
403,0,活动互动
404,0,活动互动
405,0,活动互动
406,0,活动互动
407,1,活动互动/沉睡/回流/高活跃
409,0,活动互动
410,0,活动互动
411,0,活动互动
412,0,活动互动
413,1,活动互动/沉睡/回流/高活跃
414,1,活动互动/沉睡/回流/高活跃
415,0,活动互动
416,0,活动互动
417,1,活动互动/沉睡/回流/高活跃
418,1,活动互动/沉睡/回流/高活跃
419,0,活动互动
420,0,活动互动
421,1,活动互动/沉睡/回流/高活跃
422,0,活动互动
423,0,活动互动
424,0,活动互动
425,1,活动互动/沉睡/回流/高活跃
426,1,活动互动/沉睡/回流/高活跃
427,0,活动互动
428,0,活动互动
429,0,活动互动
430,0,活动互动
431,0,活动互动
432,1,活动互动/沉睡/回流/高活跃
433,0,活动互动
434,1,活动互动/沉睡/回流/高活跃
435,0,活动互动
436,1,活动互动/沉睡/回流/高活跃
437,0,活动互动
438,0,活动互动
439,1,活动互动/沉睡/回流/高活跃
440,1,活动互动/沉睡/回流/高活跃
441,1,活动互动/沉睡/回流/高活跃
442,1,活动互动/沉睡/回流/高活跃
443,1,活动互动/沉睡/回流/高活跃
444,0,活动互动
445,1,活动互动/沉睡/回流/高活跃
446,0,活动互动
447,1,活动互动/沉睡/回流/高活跃
448,1,活动互动/沉睡/回流/高活跃
449,1,活动互动/沉睡/回流/高活跃
450,1,活动互动/沉睡/回流/高活跃
451,0,活动互动
452,1,活动互动/沉睡/回流/高活跃
453,1,活动互动/沉睡/回流/高活跃
454,0,活动互动
455,1,活动互动/沉睡/回流/高活跃
456,0,活动互动
457,1,活动互动/沉睡/回流/高活跃
458,1,活动互动/沉睡/回流/高活跃
459,1,活动互动/沉睡/回流/高活跃
460,0,活动互动
461,1,活动互动/沉睡/回流/高活跃
462,1,活动互动/沉睡/回流/高活跃
463,0,活动互动
464,0,活动互动
465,1,活动互动/沉睡/回流/高活跃
466,1,活动互动/沉睡/回流/高活跃
467,1,活动互动/沉睡/回流/高活跃
468,1,活动互动/沉睡/回流/高活跃
469,1,活动互动/沉睡/回流/高活跃
470,0,活动互动
471,1,活动互动/沉睡/回流/高活跃
472,0,活动互动
473,1,活动互动/沉睡/回流/高活跃
474,1,活动互动/沉睡/回流/高活跃
475,0,活动互动
476,1,活动互动/沉睡/回流/高活跃
477,1,活动互动/沉睡/回流/高活跃
478,0,活动互动
479,1,活动互动/沉睡/回流/高活跃
480,1,活动互动/沉睡/回流/高活跃
481,0,活动互动
482,0,活动互动
483,1,活动互动/沉睡/回流/高活跃
484,1,活动互动/沉睡/回流/高活跃
485,0,活动互动
486,0,活动互动
487,1,活动互动/沉睡/回流/高活跃
488,1,活动互动/沉睡/回流/高活跃
489,1,活动互动/沉睡/回流/高活跃
490,1,活动互动/沉睡/回流/高活跃
491,0,活动互动
492,1,活动互动/沉睡/回流/高活跃
493,0,活动互动
494,0,活动互动
495,1,活动互动/沉睡/回流/高活跃
496,0,活动互动
497,0,活动互动
498,0,活动互动
499,0,活动互动
500,1,活动互动/沉睡/回流/高活跃
501,0,活动互动
502,0,活动互动
503,0,活动互动
504,1,活动互动/沉睡/回流/高活跃
505,1,活动互动/沉睡/回流/高活跃
506,0,活动互动
507,1,活动互动/沉睡/回流/高活跃
508,1,活动互动/沉睡/回流/高活跃
509,1,活动互动/沉睡/回流/高活跃
510,0,活动互动
511,0,活动互动
512,0,活动互动
513,1,活动互动/沉睡/回流/高活跃
514,0,活动互动
515,1,活动互动/沉睡/回流/高活跃
516,0,活动互动
517,0,活动互动
518,1,活动互动/沉睡/回流/高活跃
519,1,活动互动/沉睡/回流/高活跃
520,0,活动互动
521,1,活动互动/沉睡/回流/高活跃
522,0,活动互动
523,1,活动互动/沉睡/回流/高活跃
524,0,活动互动
525,0,活动互动
526,0,活动互动
527,0,活动互动
528,0,活动互动
529,0,活动互动
530,1,活动互动/沉睡/回流/高活跃
531,0,活动互动
532,1,活动互动/沉睡/回流/高活跃
533,0,活动互动
534,0,活动互动
535,1,活动互动/沉睡/回流/高活跃
536,1,活动互动/沉睡/回流/高活跃
537,1,活动互动/沉睡/回流/高活跃
538,1,活动互动/沉睡/回流/高活跃
539,1,活动互动/沉睡/回流/高活跃
540,1,活动互动/沉睡/回流/高活跃
541,1,活动互动/沉睡/回流/高活跃
542,1,活动互动/沉睡/回流/高活跃
543,1,活动互动/沉睡/回流/高活跃
544,1,活动互动/沉睡/回流/高活跃
545,1,活动互动/沉睡/回流/高活跃
546,1,活动互动/沉睡/回流/高活跃
547,1,活动互动/沉睡/回流/高活跃
548,1,活动互动/沉睡/回流/高活跃
549,1,活动互动/沉睡/回流/高活跃
550,1,活动互动/沉睡/回流/高活跃
551,0,活动互动
552,1,活动互动/沉睡/回流/高活跃
553,0,活动互动
554,1,活动互动/沉睡/回流/高活跃
555,1,活动互动/沉睡/回流/高活跃
556,1,活动互动/沉睡/回流/高活跃
557,0,活动互动
558,0,活动互动
559,1,活动互动/沉睡/回流/高活跃
560,0,活动互动
561,1,活动互动/沉睡/回流/高活跃
562,1,活动互动/沉睡/回流/高活跃
563,0,活动互动
564,1,活动互动/沉睡/回流/高活跃
565,1,活动互动/沉睡/回流/高活跃
566,0,活动互动
567,0,活动互动
568,0,活动互动
569,0,活动互动
570,0,活动互动
571,1,活动互动/沉睡/回流/高活跃
572,1,活动互动/沉睡/回流/高活跃
573,1,活动互动/沉睡/回流/高活跃
574,0,活动互动
575,1,活动互动/沉睡/回流/高活跃
576,1,活动互动/沉睡/回流/高活跃
577,1,活动互动/沉睡/回流/高活跃
578,0,活动互动
579,0,活动互动
580,0,活动互动
581,1,活动互动/沉睡/回流/高活跃
582,0,活动互动
583,0,活动互动
584,1,活动互动/沉睡/回流/高活跃
585,1,活动互动/沉睡/回流/高活跃
586,1,活动互动/沉睡/回流/高活跃
587,1,活动互动/沉睡/回流/高活跃
588,0,活动互动
589,0,活动互动
590,0,活动互动
591,0,活动互动
592,0,活动互动
593,1,活动互动/沉睡/回流/高活跃
594,1,活动互动/沉睡/回流/高活跃
595,0,活动互动
596,0,活动互动
597,0,活动互动
598,0,活动互动
599,1,活动互动/沉睡/回流/高活跃
600,0,活动互动
601,0,活动互动
602,1,活动互动/沉睡/回流/高活跃
603,1,活动互动/沉睡/回流/高活跃
604,1,活动互动/沉睡/回流/高活跃
605,1,活动互动/沉睡/回流/高活跃
606,0,活动互动
607,1,活动互动/沉睡/回流/高活跃
608,0,活动互动
609,1,活动互动/沉睡/回流/高活跃
610,1,活动互动/沉睡/回流/高活跃
611,0,活动互动
612,1,活动互动/沉睡/回流/高活跃
613,0,活动互动
614,0,活动互动
615,1,活动互动/沉睡/回流/高活跃
616,1,活动互动/沉睡/回流/高活跃
617,0,活动互动
618,0,活动互动
619,1,活动互动/沉睡/回流/高活跃
620,1,活动互动/沉睡/回流/高活跃
621,0,活动互动
622,1,活动互动/沉睡/回流/高活跃
623,1,活动互动/沉睡/回流/高活跃
